id,original_slang,ground_truth,baseline_output,finetuned_output,advanced_output,debate_output,dpo_output,dpo_advanced_output
11,it was no fun having doors slammed in my face getting the evil eye on the street being spat upon punched in the face and told i am a horrible person for deserting my pregnant wife,it was no fun having doors slammed in my face getting the malocchio on the street being spat upon punched in the face and told i am a horrible person for deserting my pregnant wife,"It was unpleasant to have doors closed abruptly in front of me, to be met with hostile stares in public, to be spat upon, struck in the face, and accused of being a terrible person for abandoning my pregnant wife.",it was no fun having doors slammed in my face getting the evil eye on the street being spat upon punched in the face and told i am a horrible person for deserting my pregnant wife,it was no fun having doors slammed in my face getting the evil eye on the street being spat upon punched in the face and told i am a horrible person for deserting my pregnant wife,"The experience was deeply unpleasant: having doors slammed in my face, receiving hostile stares on the street, being spat upon, punched in the face, and denounced as a horrible person for allegedly deserting my pregnant wife.","It was no fun having doors slammed in my face, getting the evil eye on the street, being spat upon, punched in the face and told I am a horrible person for deserting my pregnant wife.","It was no fun having doors slammed in my face, getting the evil eye on the street, being spat upon, punched in the face and told I am a horrible person for deserting my pregnant wife."
12,two months we negotiated with these pikers,two months we negotiated with these scrubs,We negotiated with these inexperienced negotiators for two months.,two months we negotiated with these pikers,two months we negotiated with these scrubs,"For two months, we negotiated with these unskilled or unscrupulous individuals.",Two months we negotiated with these difficult people.,two months we negotiated with these incompetent fools.
13,excuse me mate is there a toilet here,excuse me friend is there a toilet here,"Excuse me, sir, is there a restroom here?",excuse me friend is there a toilet here,excuse me friend is there a toilet here,"Excuse me, friend, is there a toilet here?","Excuse me friend, is there a toilet here?",Excuse me friend is there a toilet here
14,you fucking horrible fucking cunt,you fucking horrible fucking person,You are a terrible person.,you bad horrible woman,you bad horrible woman,You are a truly despicable person.,You are a very unpleasant and offensive person.,You are a very unpleasant and offensive person.
15,honest lad i know how you feel,honest boy i know how you feel,I understand how you feel.,honest lad i know how you feel,honest lad i know how you feel,"I understand how you feel, my honest friend.",honest man i know how you feel,honest man i know how you feel
16,now run home cos mummy s cooking curry,now run home because mummy s cooking curry,Now return home because your mother is preparing curry.,now run home because mummy s cooking curry,now run home because mummy s cooking curry,You should return home promptly because your mother is preparing curry.,Now run home because mummy is cooking curry.,Now run home because mummy is cooking curry.
17,he s an unsettled lad but he s desperate to speak to you,he s an unsettled boy but he s desperate to speak to you,"He is an anxious young man, but he is very eager to speak with you.",he s an unsettled lad but he s desperate to speak to you,he s an unsettled lad but he s desperate to speak to you,"He is an agitated young man, but he is very eager to speak with you.","He is an unsettled young man, but he is desperate to speak with you.","He is an unsettled young man, but he is desperate to speak with you."
18,none taken you fat ankled fucker,none taken you fat ankled person,No offense was intended by your remark.,none taken you fat ankled man,none taken you fat ankled man the man who was being referred to as a fat ankled man had just been called that by someone else and he was saying none taken you fat ankled man,"No offense taken, you person with stout ankles.","None taken, you fat bottomed man.",none taken you fat ankled man.
19,hey what do you call a man with paper trousers,hello what do you call a man with paper trousers,"Hello, what would you call a man wearing trousers made of paper?",hey what do you call a man with paper trousers,hey what do you call a man with paper trousers,"Hello, what is the term for a man wearing trousers made of paper?","Hey, what do you call a man with paper trousers?","Hey, what do you call a man with paper trousers?"
20,ben got a cross in and the lad just went like that with his boot with his studs and all that business and he s straight down,ben got a cross in and the boy just went like that with his boot with his studs and all that business and he s straight down,"Ben was tackled, and the player then kicked him with his cleats, including the studs, causing him to fall immediately.",ben got a cross in and the lad just went like that with his boot with his studs and all that business and he s straight down,ben got a cross in and the lad just went like that with his boot with his studs and all that business and he s straight down,"Ben delivered a cross into the box, and the opposing player aggressively challenged with his boot, including the studs, in a reckless manner, causing him to fall immediately to the ground.","Ben got a cross in and the lad just went like that with his boot, studs and all. He s straight down.","Ben got a cross in and the lad just went like that with his boot, studs and all. He s straight down."
21,you ve got a kid who s smaller than most,you ve got a child who s smaller than most,You have a child who is smaller than most.,you ve got a child who s smaller than most,you ve got a child who s smaller than most,You have a child who is smaller than most.,You have a child who is smaller than most.,You have a child who is smaller than most.
22,listen you best fucking stay away from here,listen you best bad stay away from here,You should maintain a significant distance from this area.,listen you best bad stay away from here,listen you best bad stay away from here,I strongly advise you to keep your distance from this area.,"Listen, you best stay away from here.","listen, you best stay away from here"
23,he was a teenage kid,he was a teenage child,He was a teenage boy.,he was a teenage child,he was a teenage child,He was a teenage boy.,He was a young teenager.,He was a teenage child.
24,please go the fuck away,please go the hell away,Please leave immediately.,please go the hell away,please go the hell away,Please leave immediately.,Please go the hell away.,Please go the hell away.
25,just make us look cool,just make us look stylish,Please ensure that we appear impressive.,just make us look cool,just make us look cool,Simply ensure we appear stylish and impressive.,Just make us look cool,Just make us look cool
26,the shares of the major financial stocks plummeting,the shares of the major financial stocks falling,The shares of the major financial stocks are declining sharply.,the shares of the major financial stocks plummeting,the shares of the major financial stocks plummeting,The shares of the major financial stocks experienced a sharp decline.,The shares of the major financial stocks plummeting,The shares of the major financial stocks plummeting
27,yeah well they can certainly phase me out,yeah well they can certainly eliminate,"Nevertheless, they are certainly capable of gradually removing me from the process.",yeah well they can certainly phase me out,yeah well they can certainly phase out,"Indeed, they are certainly capable of gradually removing me from the process.","Yes, they can certainly phase me out.","Yes, they can certainly phase out."
28,i don t wanna tell it,i don t want to tell it,I do not want to discuss it.,i don t want to tell it,i don t want to tell it,I do not wish to disclose it.,I don t want to tell it,I don t want to tell it
29,did you see a hitch in his swing,did you see a glitch in his swing,Did you notice a flaw in his approach?,did you see a hitch in his swing,did you see a hitch in his swing,Did you observe any irregularity in his swing?,Did you see a hitch in his swing,Did you see a hitch in his swing
30,charlie if we re gonna be friends you have to be able to trust me,charlie if we re going to be friends you have to be able to trust me,"Charlie, if we are going to be friends, you must be able to trust me.",charlie if we re going to be friends you have to be able to trust me,charlie if we re going to be friends you have to be able to trust me,"Charlie, if we are going to be friends, you must be able to trust me.","Charlie, if we are going to be friends, you have to be able to trust me.","Charlie, if we are going to be friends, you have to be able to trust me."
31,picking on a fucking kid was you,picking on a fucking child was you,Bullying a child was your action.,picking on a bad child was you,picking on a bad child was you,You were the one who harassed a child.,Picking on a very young child was you.,Picking on a very young child was you.
32,fucking leave them two alone,bad leave them two alone,Please leave those two alone.,fucking leave them two alone,fucking leave them two alone,Please leave those two alone.,fucking leave them two alone,fucking leave them two alone
33,any chance you can get me any weed,any chance you can get me any marijuana,Is there any possibility that you could obtain marijuana for me?,any chance you can get me any marijuana,any chance you can get me any marijuana,Is it possible for you to obtain marijuana for me?,any chance you can get me any marijuana.,any chance you can get me any marijuana.
34,i tell you you know any any time you wanna come round for something to eat you have to come to my grandma s to get something to eat,i tell you you know any any time you want to come round for something to eat you have to come to my grandma s to get something to eat,"I assure you that whenever you wish to visit for a meal, you must come to my grandmother's house to dine.",i tell you you know any any time you want to come round for something to eat you have to come to my grandma s to get something to eat,i tell you you know any any time you want to come round for something to eat you have to come to my grandma s to get something to eat,"I must emphasize that whenever you wish to visit for a meal, you are welcome to come to my grandmother's house to dine.","I tell you, you know any time you want to come round for something to eat, you have to come to my grandma s to get something to eat.","I tell you, you know any time you want to come round for something to eat, you have to come to my grandma s to get something to eat."
35,it s my other half like,it s my spouse like,It is my spouse.,it s my other half like,it s my other half like,It is my spouse.,It s my other half like,It s my other half like
36,i ve got to tape summat on aardvarks,i ve got to tape something on aardvarks,I have to record something about aardvarks.,i ve got to tape summat on aardvarks,i ve got to tape something on aardvarks,I have to tape something onto aardvarks.,I have to record something about aardvarks.,I have to record something about aardvarks.
37,i ll sort it i promise you,i ll fix it i promise you,I will resolve it; I assure you.,i ll sort it i promise you,i ll fix it i promise you,I will resolve the matter; I assure you.,"I will sort it, I promise you.","I will sort it, I promise you."
38,i know a bit yeah,i know a bit yes,I am somewhat familiar with it.,i know a bit yes,i know a bit yes,I am somewhat familiar with the subject.,"I know a bit, yes.","I know a bit, yes."
39,she s a lovely looking kid,she s a lovely looking child,She is a lovely looking child.,she s a lovely looking child,she s a lovely looking child,She is a lovely-looking child.,She is a lovely looking child.,She is a lovely looking child.
40,you think you re up for all this pete,you think you re prepared all this pete,"You believe you are prepared for all of this, Pete.",you think you re up for all this pete,you think you re up for all this pete,"Do you believe you are prepared for all of this, Pete?","You think you are up for all this, Pete?","You think you are prepared for all this, Pete?"
41,tommy douglas was my best mate,tommy douglas was my best friend,Tommy Douglas was my closest friend.,tommy douglas was my best friend,tommy douglas was my best friend,Tommy Douglas was my closest and most trusted friend.,tommy douglas was my best friend.,tommy douglas was my best friend.
42,go on then off you pop,go on then depart,Please proceed and leave now.,go on then off you pop,go on then off you pop,"Proceed, and then you may depart.","go on then, off you go.","go on then, off you go."
43,i m gonna be keeping my eyes on you,i m going to be keeping my eyes on you,I will be monitoring you closely.,i m going to be keeping my eyes on you,i m going to be keeping my eyes on you,I will be monitoring you closely.,I m going to be keeping my eyes on you,I m going to be keeping my eyes on you
44,touch me again and i ll kick your fucking teeth so far down your gregory peck you ll be able to eat out of your khyber pass,touch me again and i ll kick your bad teeth so far down your gregory peck you ll be able to eat out of your khyber pass,"If you touch me again, I will strike you so forcefully that you will be severely injured.",touch me again and i ll kick your bad teeth so far down your gregory peck you ll be able to eat out of your khyber pass,touch me again and i ll kick your bad teeth so far down your gregory peck you ll be able to eat out of your khyber pass,"If you touch me again, I will kick your teeth so far down your throat that you will be able to eat through your anus.",touch me again and i ll kick your bad teeth so far down your throat you ll be able to eat out of the same mouth.,touch me again and i ll kick your bad teeth so far down your gregory peck you will be able to eat out of your khyber pass.
45,i had that many chances and you know blew it,i had that many chances and you know messed,"I had numerous opportunities, but I squandered them.",i had that many chances and you know blew it,i had that many chances and you know messed up,"I had numerous opportunities, and as you are aware, I squandered them.",I had that many chances and you know blew it,I had that many chances and you know blew it
46,it was just a hoof down the channel and coley just dinked it over,it was just a trip down the channel and coley just dinked it over,"The ball was simply played down the wing, and Coley gently chipped it over the goalkeeper.",it was just a hoof down the channel and coley just dinked it over,it was just a trip down the channel and coley just dinked it over,"It was simply a run down the wing, and Coley deftly chipped it over.",It was just a hoof down the channel and coley just dinked it over,It was just a trip down the channel and coley just dinked it over
47,kids nowadays they ve just become so much more advanced,children nowadays they ve just become so much more advanced,Children today have become significantly more advanced.,kids nowadays they ve just become so much more advanced,kids nowadays they ve just become so much more advanced,Children today have become significantly more advanced.,children nowadays they ve just become so much more advanced,children nowadays they ve just become so much more advanced
48,you not got a bottle man,you not got a courage man,You do not have courage.,you not got a bottle man,you not got a bottle man,"You lack courage, sir.","You don t have a bottle, do you?","You don t have a bottle, do you?"
49,yeah what do you think,yes what do you think,"Yes, what do you think?",yeah what do you think,yeah what do you think,"Yes, what is your opinion?","Yes, what do you think?","Yes, what do you think?"
50,he s talking to witch doctors,he s talking to superstitious,He is speaking with traditional healers.,he s talking to witch doctors,he s talking to superstitious people,He is consulting individuals who practice superstitious or folk medicine.,He is talking to witch doctors,He is talking to people who believe in superstitions.
51,no offense dude but that takes some major camouflage,no offense man but that takes some major camouflage,"No offense, sir, but that requires significant concealment.",no offense man but that takes some major camouflage,no offense man but that takes some major camouflage,"No offense, but that requires significant concealment or disguise.","No offense, but that takes some major camouflage.","No offense, but that takes some major camouflage."
52,honey whose house is this,difficult to provide a definition for this honey is not a polite way to address someone though whose house is this,May I ask to whom this residence belongs?,honey whose house is this,honey whose house is this,"Excuse me, may I ask who owns this residence?","Honey, whose house is this?",honey whose house is this
53,can we go get chinese now,can we go get chinese food now,May we go to a Chinese restaurant now?,can we go get chinese now,can we go get chinese food now,May we go get Chinese food now?,Can we go get Chinese food now?,Can we go get Chinese food now?
54,you know things that he finds germane to his lifestyle,you know things that he finds relevant to his lifestyle,He discusses matters that are relevant to his lifestyle.,you know things that he finds germane to his lifestyle,you know things that he finds germane to his lifestyle,You are aware of matters he considers relevant to his way of life.,You know things that he finds relevant to his lifestyle.,You know things that he finds relevant to his lifestyle.
55,a rod s in the type of slump he couldn t hit the beach with a beach ball,a rod s in the type of downturn he couldn t hit the beach with a beach ball,The batter is in such a severe slump that he could not hit the ball even if it were the size of a beach ball.,a rod s in the type of slump he couldn t hit the beach with a beach ball,a rod s in the type of slump he couldn t hit the beach with a beach ball,Rod is in such a severe performance slump that he would be unable to hit a target even under the most favorable conditions.,a rod s in the type of slump he couldn t hit the beach with a beach ball,a rod s in the type of slump he couldn t hit the beach with a beach ball.
56,they got a huge stake,they got a huge money,They have a significant financial interest.,they got a huge stake,they got a huge money,They have a substantial financial investment.,They have a huge interest.,They have a huge financial stake.
57,that s what my friends used to call me back in high,that s what my friends used to call me back in intoxicated,That is what my friends used to call me in high school.,that s what my friends used to call me back in high,that s what my friends used to call me back in high,That is the nickname my friends used for me during high school.,That s what my friends used to call me back in high.,That s what my friends used to call me back in high.
58,okay your damages have put you way in the hole for this tour,okay your damages have put you way indebted for this tour,Your expenses have resulted in a significant financial deficit for this tour.,okay your damages have put you way in the hole for this tour,okay your damages have put you way in the hole for this tour,"Very well, the damages you have incurred have left you significantly indebted for this tour.","Okay, your damages have put you way in the hole for this tour","Okay, your damages have put you way in the hole for this tour"
59,my garage is starting to shrink,my garage is starting to psychiatrist,My garage is becoming too small for its contents.,my garage is starting to shrink,my garage is starting to shrink,"Based on the context, a plausible formal translation could be: 'My garage is beginning to feel smaller or more cramped.'",My garage is starting to shrink.,my garage is starting to shrink.
60,you better get your skinny little ass on base,you better get your weak person on base,You should return to base immediately.,you better get your skinny little bottom on base,you better get your weak person on base,You need to get yourself to base immediately.,You better get your skinny little bottom on base.,You better get your weak person on base.
61,and we can study your french together,and we can study your marijuana together,We can study French together.,and we can study your french together,and we can study your marijuana together,and we can examine your marijuana together,And we can study your French together,and we can study your French together
62,hey anyone can figure out life when you re looking back on it,hello anyone can figure out life when you re looking back on it,Anyone can understand life when reflecting upon it.,hey anyone can figure out life when you re looking back on it,hey anyone can figure out life when you re looking back on it,"In retrospect, anyone can understand life.","Hey, anyone can figure out life when you re looking back on it","Hey, anyone can figure out life when you re looking back on it"
63,because gee whiz we all know that prices of houses in america always go up right,because surprise we all know that prices of houses in america always go up right,The assertion that housing prices in the United States perpetually increase is not necessarily accurate.,because gee whiz we all know that prices of houses in america always go up right,because gee whiz we all know that prices of houses in america always go up right,"Because, contrary to the simplistic belief, it is commonly assumed that housing prices in America perpetually increase.","Because, gee whiz, we all know that prices of houses in America always go up right.","Because, surprise, we all know that prices of houses in America always go up right."
64,pick your head up buddy,pick your head up friend,"Raise your head, friend.",pick your head up friend,pick your head up friend,"Take heart, my friend.",pick your head up friend.,pick your head up friend.
65,that little fucking whippersnapper has set the standard,that little fucking young has set the standard,That young upstart has set the standard.,that little bad whippersnapper has set the standard,that little bad whippersnapper has set the standard,That presumptuous young individual has established the benchmark.,That little fucking whippersnapper has set the standard,That little fucking whippersnapper has set the standard
66,i ve never seen anyone look that fucking sick,i ve never seen anyone look that fucking ill,I have never seen anyone look that remarkably impressive.,i ve never seen anyone look that bad sick,i ve never seen anyone look that bad sick,I have never seen anyone appear so gravely ill.,I ve never seen anyone look that very ill.,I have never seen anyone look that ill.
67,tell you what there s fuck all that this man hasn t seen,tell you what there s hell all that this man hasn t seen,"I assure you, there is nothing this man has not seen.",tell you what there s the hell that this man hasn t seen,tell you what there s hell all that this man hasn t seen,"I assure you, there is absolutely nothing this man hasn't seen.",Tell you what there s nothing that this man hasn t seen.,Tell you what there s nothing that this man hasn t seen.
68,get me a hundred fags two bottles of wine a bottle of whisky and ten cans of lager now,get me a hundred cigarette two bottles of wine a bottle of whisky and ten cans of lager now,"Bring me one hundred cigarettes, two bottles of wine, a bottle of whisky, and ten cans of beer immediately.",get me a hundred cigarettes two bottles of wine a bottle of whisky and ten cans of lager now,get me a hundred cigarettes two bottles of wine a bottle of whisky and ten cans of lager now,"Please obtain for me one hundred cigarettes, two bottles of wine, one bottle of whisky, and ten cans of lager immediately.","Get me a hundred cigarettes, two bottles of wine, one bottle of whisky and ten cans of lager now.","Get me a hundred cigarettes, two bottles of wine, one bottle of whisky and ten cans of lager now."
69,fucking look at you man,bad look at you man,Observe your appearance.,fucking look at you man,fucking look at you man,Just look at you.,fucking look at you man,fucking look at you man
70,what are you giving her porno for meggy,what are you giving her pornography for meggy,"Why are you showing her explicit material on my behalf, Meggy?",what are you giving her porno for meggy,what are you giving her porno for meggy,"Why are you giving her pornography, Meggy?",What are you giving her pornography for Meggy?,What are you giving her pornography for Meggy?
71,a lawless brat from a council flat oh oh,a lawless child from a council flat oh oh,A rebellious child from a public housing unit.,a lawless brat from a council flat oh oh,a lawless brat from a council flat oh oh,A delinquent child from public housing.,a lawless child from a council flat oh oh,a lawless child from a council flat oh oh
72,of the shit that is all around,of the stuff that is all around,Of the many undesirable things that are all around.,of the stuff that is all around,of the stuff that is all around,of the various things that are prevalent,Of the stuff that is all around.,Of the stuff that is all around.
73,you are not a fucking mum any more,you are not a bad mum any more,You are no longer a mother.,you are not a bad mum any more,you are not a bad mum any more,You are no longer a bad mother.,You are not a mother any more.,You are not a bad mother any more.
74,life in the old dog yet,life in the old yet,There is still vitality remaining.,life in the old dog yet,life in the old one yet,There is still life in the old dog yet.,life in the old dog yet,There's life in the old dog yet.
75,pick your head up buddy,pick your head up friend,"Lift your head, friend.",pick your head up friend,pick your head up friend,"Take heart, my friend.",pick your head up friend.,pick your head up friend.
76,you still pissed at me,you still angry at me,Are you still angry with me?,you still angry at me,you still angry at me,Are you still angry with me?,You still angry at me.,You still angry at me.
77,boo radley is the most interesting character in to kill a mockingbird,boo radley is the most interesting character in to agree a mockingbird,"Arthur ""Boo"" Radley is the most compelling character in To Kill a Mockingbird.",boo radley is the most interesting character in to kill a mockingbird,boo radley is the most interesting character in to agree a mockingbird,Boo Radley is the most interesting character in To Kill a Mockingbird.,boo radley is the most interesting character in to kill a mockingbird,boo radley is the most interesting character in to agree a mockingbird
78,we just got a good dose of mel,we just got a good amount of mel,We just received a significant amount of rainfall.,we just got a good dose of mel,we just got a good dose of mel,We just received a substantial amount of mel.,We just got a good dose of mel.,We just got a good amount of mel.
79,don t be a drama queen,don t be a exaggerator,Do not overreact.,don t be a drama queen,don t be a drama queen,Do not exaggerate the situation.,Don t be a drama queen,Don t be a drama queen
80,wait ll i see that horse s ass,wait ll i see that idiot,Wait until I see that contemptible person.,wait ll i see that horse s bottom,wait ll i see that idiot s bottom,Wait until I see that fool.,"Wait, I see that horse s bottom.","wait, I see that idiot."
81,i knew right then that she wasn t gonna be a kid any longer,i knew right then that she wasn t going to be a kid any longer,I knew at that moment she was not going to be a child any longer.,i knew right then that she wasn t going to be a child any longer,i knew right then that she wasn t going to be a child any longer,I knew right then that she was not going to be a child any longer.,I knew right then that she wasn t going to be a child any longer.,I knew right then that she wasn t going to be a child any longer.
82,i m here because you re so pig,i m here because you re so insult,I am here because you are so stubborn.,i m here because you re so pig,i m here because you re so insult,I am here because you are so insulting.,I m here because you re so pig,I m here because you re so insult.
83,alan i gotta talk to somebody because you re not talking to me,alan i got to talk to somebody because you re not talking to me,"Alan, I must speak with someone because you are not speaking to me.",alan i got to talk to somebody because you re not talking to me,alan i got to talk to somebody because you re not talking to me,"Alan, I need to speak with someone else because you are not communicating with me.","alan, I have to talk to someone because you are not talking to me.","alan, I have to talk to someone because you are not talking to me."
84,that was a breaking ball right,that was a breaking ball ball right,That was an exceptional pitch.,that was a breaking ball right,that was a breaking ball right,That was a deceptive or unexpected challenge.,That was a curveball.,That was a breaking ball.
85,in a get you get to get rid of the entire schmuck,in a get you get to get rid of the entire idiot,"In a successful acquisition, you have the opportunity to eliminate the entire incompetent individual.",in a get you get to get rid of the entire schmuck,in a get you get to get rid of the entire fool,"In a single action, you can eliminate the entire fool.","In a get you, you have to eliminate the entire jerk.","in a get you, you have the opportunity to eliminate the entire idiot."
86,and say yeah come on come in,and say yes come on come in,Please enter.,and say yeah come on come in,and say yeah come on come in,"and say yes, please come in","And say yes, come on, come in.","and say yes, come on, come in"
87,i mean i ve only got like one spliff left on me,i mean i ve only got like one joint left on me,I only have one marijuana cigarette remaining.,i mean i ve only got like one spliff left on me,i mean i ve only got like one spliff left on me,"To clarify, I currently possess only approximately one marijuana cigarette.","I mean, I have only got like one cigarette left on me.","I mean, I have only got like one marijuana cigarette left on me."
88,who drinks a brew that big,who drinks a tea that big,Who consumes a beverage of that size?,who drinks a brew that big,who drinks a tea that big,Who would drink a cup of tea that large?,Who drinks a cup of tea that large?,Who drinks a cup of tea that large?
89,this dude here he spent three years in the pen for me he never said nothing,this man here he spent three years in the pen for me he never said nothing,This man spent three years in prison for me and never said anything.,this man here he spent three years in the pen for me he never said nothing,this man here he spent three years in the pen for me he never said nothing,This man served three years in prison on my behalf and never revealed any information.,This man here he spent three years in prison for me. He never said anything.,This man here he spent three years in prison for me. He never said anything.
90,that s gonna be our fucking centrepiece,that s going to be our fucking centrepiece,That is going to be our primary centerpiece.,that s going to be our bad centrepiece,that s going to be our bad centrepiece,That is going to be our very centerpiece.,That s going to be our very centre.,That s going to be our very centrepiece.
91,get the fuck out of here you fucking goggle eyed twat,get the hell out of here you fucking goggle eyed twat,Leave immediately.,get the hell out of here you bad goggle eyed idiot,get the hell out of here you bad goggle eyed idiot,"Leave immediately, you foolish person.",Get the hell out of here you fucking idiot.,Get the hell out of here you fucking idiot.
92,wanna hear a fucking joke yeah,want to hear a fucking joke yeah,Would you like to hear a joke?,wanna hear a bad joke yes,wanna hear a bad joke yes,Would you like to hear an absolutely terrible joke?,"Wanna hear a very bad joke, yes.","Wanna hear a damn joke, yes."
93,jobson s not going to be very happy is he the way we ve treated his lads,jobson s not going to be very happy is he the way we ve treated his boys,Mr. Johnson will not be very pleased with the way we have treated his employees.,jobson s not going to be very happy is he the way we ve treated his lads,jobson s not going to be very happy is he the way we ve treated his lads,Jobson will likely be displeased with how we have treated his subordinates.,"Jobson is not going to be very happy, is he? The way we have treated his lads.","Jobson is not going to be very happy, is he? The way we have treated his lads."
94,i m not fucking having it,i m not bad having it,I am not accepting it.,i m not bad having it,i m not bad having it,I am not accepting this.,I am not going to accept it.,I am not going to accept it.
95,i don t know how much longer i can get away with it really cause i m a bit of an old chap,i don t know how much longer i can get away with it really cause i m a bit of an old man,"I do not know how much longer I can continue to do this, as I am somewhat of an older man.",i don t know how much longer i can get away with it really cause i m a bit of an old chap,i don t know how much longer i can get away with it really cause i m a bit of an old man,"I am uncertain how much longer I can continue this without consequence, as I am somewhat advanced in years.",I don t know how much longer I can get away with it really because I m a bit of an old chap.,I don t know how much longer I can get away with it really because I m a bit of an old man.
96,sometimes it doesn t work out okay,sometimes it doesn t work out allright,Sometimes it does not proceed satisfactorily.,sometimes it doesn t work out allright,sometimes it doesn t work out okay,"Sometimes, things do not proceed satisfactorily.",Sometimes it doesn t work out allright.,Sometimes it doesn t work out allright.
97,what about the fucker who spat in your face,what about the person who spat in your face,What about the individual who spat in your face?,what about the man who spat in your face,what about the man who spat in your face,What about the individual who spat in your face?,What about the man who spat in your face.,What about the person who spat in your face.
98,what is your fucking name,what is your bad name,What is your name?,what is your bad name,what is your bad name,What is your name?,What is your fucking name,What is your bad name.
99,however it is also because they are kids,however it is also because they are children,"However, it is also because they are children.",however it is also because they are children,however it is also because they are children,This is also attributable to their being children.,"However, it is also because they are children.","However, it is also because they are children."
100,he always was a nuttier,he always was a insane,He was always more eccentric.,he always was a nuttier,he always was a nuttier,He has always been somewhat eccentric.,He always was a bit eccentric.,He was always insane.
101,anywhere you wanna go anywhere in the world,anywhere you want to go anywhere in the world,Anywhere you wish to travel in the world.,anywhere you wanna go anywhere in the world,anywhere you wanna go anywhere in the world,Anywhere you want to go in the world.,anywhere you want to go anywhere in the world,anywhere you want to go anywhere in the world
102,i m not gonna back out of the franchise deal,i m not going to back out of the franchise deal,I am not going to withdraw from the franchise deal.,i m not going to back out of the franchise deal,i m not going to back out of the franchise deal,I am not going to back out of the franchise deal.,I m not going to back out of the franchise deal,I m not going to back out of the franchise deal
103,you got to read this shit,you got to read this stuff,You must read this material.,you got to read this stuff,you got to read this stuff,You must read this material.,You have to read this stuff.,You have to read this stuff.
104,look i told you before winnie was gonna stake me when i got out,look i told you before winnie was gonna money me when i got out,I must inform you that I previously stated Winnie would be waiting for me upon my release.,look i told you before winnie was going to stake me when i got out,look i told you before winnie was going to give me money when i got out,I told you previously that Winnie was going to provide me with financial support upon my release.,"Look, I told you before that Winnie was going to take advantage of me when I got out.","Look, I told you before that Winnie was going to provide money for me when I got out."
