SENTENCE	FULL_CONTEXT	MOVIE_ID	SENT_ID	REGION	YEAR
# Soldiers of Islam are loading their guns	I won't let you down. <i> # Soldiers of Islam are loading their guns </i> # They're getting ready	3179568	1346	UK	2006
- Do you want to hold one?	They're absolutely lovely. <i> - Do you want to hold one? </i> There.	3179568	530	UK	2006
We'll talk about this outside.	No, you can't be serious, mate. <i> We'll talk about this outside. </i> Kes, just sit down.	3179568	1259	UK	2006
Be better in my size.	- They'll only be about that. <i> Be better in my size. </i> Come on.	3179568	504	UK	2006
"If he said,"" Jump off a cliff"", would you do that?"	"Shaun, did I not ask you if it was all right? <i> If he said,"" Jump off a cliff"", would you do that? </i> No."	3179568	751	UK	2006
# Right now, someone has that number	# Oh, yeah <i> # Right now, someone has that number </i> # One more time, baby# 54-46	3179568	41	UK	2006
If I get up in the middle of the night,	I wonder if it's you. <i> If I get up in the middle of the night, </i> I can't help thinking about you.	3472293	30	UK	2009
I was just wondering if Miss Marshall had been back here at all.	So sorry to bother you again. <i> I was just wondering if Miss Marshall had been back here at all. </i> Helen?	3472293	919	UK	2009
You'd think she'd have moved.	Can't blame her. <i> You'd think she'd have moved. </i> I hope you don't mind.	3472293	633	UK	2009
As far as West Yorkshire is concerned, your squad will be there in an advisory capacity.	Don't want to go washing our dirty linen in public, do we? <i> As far as West Yorkshire is concerned, your squad will be there in an advisory capacity. </i> Mr Hunter, this goes right to the top.	3472293	78	UK	2009
She was laughing at me and she said...	"She was drunk. <i> She was laughing at me and she said... </i> "" Come on, get it over with."""	3472293	1218	UK	2009
We'd like you to provide us with details of your bank accounts, you know, savings accounts- any credit cards you might have.	Can't say, Mr Hunter. <i> We'd like you to provide us with details of your bank accounts, you know, savings accounts- any credit cards you might have. </i> I'm afraid I can't give you that information.	3472293	1074	UK	2009
Those lights are so old.	Have it up in no time. <i> Those lights are so old. </i> 'Shots fired in the private bar of the Karachi Club.	3472293	400	UK	2009
Your wife's been calling, Mr Hunter.	You're supposed to be on duty. <i> Your wife's been calling, Mr Hunter. </i> And 64.	3472293	697	UK	2009
Which is why we've asked you here today.	Now, there have been calls for outside help, a fresh perspective and so on. <i> Which is why we've asked you here today. </i> We want you to head up a covert Home Office inquiry into the Ripper investigation.	3472293	74	UK	2009
Heard she hadn't been too good, that's all.	She's fine. <i> Heard she hadn't been too good, that's all. </i> Don't mean to pry.	3472293	202	UK	2009
I'll go and clear my desk, then.	Thank you. <i> I'll go and clear my desk, then. </i> See you later, boss.	3472293	133	UK	2009
I don't like Mr Craven.	Yeah. <i> I don't like Mr Craven. </i> He's a knob.	3472293	354	UK	2009
I'd better go and say hello.	No, thank you. <i> I'd better go and say hello. </i> Don't forget to call the wife.	3472293	702	UK	2009
And this time round I want them irrespective of blood type.	I want details of cars sighted, descriptions of all witnesses, suspects, whatever. <i> And this time round I want them irrespective of blood type. </i> I want us to forget all previous investigations.	3472293	282	UK	2009
- The UN are very keen.	Who knows? <i> - The UN are very keen. </i> - Are they?	3670999	1544	UK	2010
I'll leave you alone for a moment, just to have a little think.	I'll tell you what. <i> I'll leave you alone for a moment, just to have a little think. </i> # Arseholes, bastards, fucking cunts and pricks	3670999	1376	UK	2010
# Here's a little bit of advice	# See my tailor, he's called Simon I know it's going to fit <i> # Here's a little bit of advice </i> # You're quite welcome, it is free	3670999	1055	UK	2010
Now look what you done.	I'll be in the kitchen, all right? <i> Now look what you done. </i> We're all on our own now, son.	3670999	82	UK	2010
# And I'm doing very well	# I'm Billericay Dickie <i> # And I'm doing very well </i> # I bought a lot of brandy	3670999	13	UK	2010
No one fucking wanted it.	But you know what, Ian? <i> No one fucking wanted it. </i> I am not your fucking pet, all right?	3670999	785	UK	2010
# Woody Allen, Dalí, Dimitri and Pasquale	# Slap and tickle <i> # Woody Allen, Dalí, Dimitri and Pasquale </i> # Balabalabala and Volare	3670999	1774	UK	2010
Your mum told your dad to tell me to make sure you went in.	# And quite unaccustomed to fear <i> Your mum told your dad to tell me to make sure you went in. </i> Now, go on.	3670999	767	UK	2010
# Cornflake packet jacket Catalogue trousers	# Shoes like dead pigs' noses <i> # Cornflake packet jacket Catalogue trousers </i> # A mouth what never closes	3670999	997	UK	2010
# If you don't know where it's been	# You should never hold a candle <i> # If you don't know where it's been </i> # The jackpot is in the handle	3670999	40	UK	2010
Get up that dive board!	Get up! <i> Get up that dive board! </i> Over!	3670999	1697	UK	2010
Everyone on my street was United fans, and I used to go watch them, Stretford End, United Road.	My dad played rugby, so he signed professionally for Swinton, so I moved to Manchester when I was seven. <i> Everyone on my street was United fans, and I used to go watch them, Stretford End, United Road. </i> Go with my mates, catch the match bus, the 26.	5778643	529	UK	2013
I think we were playing Oldham, I think, one day...	And I always remember, <i> I think we were playing Oldham, I think, one day... </i> I remember Ben Thornley, the left winger, got absolutely battered off the Oldham right back.	5778643	320	UK	2013
I'm playing in a game, and I'm thinking,	"I wasn't too happy when... <i> I'm playing in a game, and I'm thinking, </i> "" They're singing my song, you know, for the first few seconds, and then..."""	5778643	865	UK	2013
# But to carry on Our winning ways#	# You're letting us know We have no choice <i> # But to carry on Our winning ways# </i> I hope you haven't got...	5778643	1617	UK	2013
I got all the scouts in and told them,	"I just wanted to make sure that by getting the map, that all the areas were covered. <i> I got all the scouts in and told them, </i> "" I want the best boy on your team, not the best boy on your street."""	5778643	32	UK	2013
I would bring out stories, some imaginative stories, and some were actually true stories, but always working on the principal of work ethic.	So all my team talks were based on that. <i> I would bring out stories, some imaginative stories, and some were actually true stories, but always working on the principal of work ethic. </i> I've heard them stories a million times, sometimes you joke, you don't even listen, you've heard them all before.	5778643	1099	UK	2013
This was something that I wanted for us both, and we scored and he came on, and that was a special moment.	And that was my thought process going into the game. <i> This was something that I wanted for us both, and we scored and he came on, and that was a special moment. </i> I didn't play in the' 96 final.	5778643	1019	UK	2013
There's no greater feeling than scoring in the last minute to win a game.	PHIL: <i> There's no greater feeling than scoring in the last minute to win a game. </i> You know, I've had kids.	5778643	1894	UK	2013
QUEEN ELIZABETH III 1992 is not a year on which I shall look back with undiluted pleasure.	"A treble chance, the likes of which no English team has had before, or may ever get again. <i> QUEEN ELIZABETH III 1992 is not a year on which I shall look back with undiluted pleasure. </i> MALE REPORTER""."	5778643	11	UK	2013
I'd waited for so many months for that car, so many years.	So we all had these Honda Preludes. <i> I'd waited for so many months for that car, so many years. </i> You know, all the players had had their car before me.	5778643	1272	UK	2013
I'd played in the first game.	So the manager decided to change things. <i> I'd played in the first game. </i> We'd had a goal disallowed, and we felt that we should have won it.	5778643	707	UK	2013
And the evidence At the crime scene.	Of sorts. <i> And the evidence At the crime scene. </i> It is a matter of finding the right boy.	6224678	992	UK	2014
Do you have any children, Mr. Carver?	Dreadful. <i> Do you have any children, Mr. Carver? </i> No.	6224678	233	UK	2014
- Just stop trying to tell me what to do.	What? <i> - Just stop trying to tell me what to do. </i> - I am not...	6224678	821	UK	2014
Just get out of my way.	Bruv. <i> Just get out of my way. </i> Keep away from Grady's brother!	6224678	507	UK	2014
- We all a little bit scarred.	- I a little bit scarred. <i> - We all a little bit scarred. </i> Baby.	6224678	845	UK	2014
We are visiting Steven is grave together.	Yeah. <i> We are visiting Steven is grave together. </i> Hi.	6224678	445	UK	2014
Have you called the police?	You just get scared. <i> Have you called the police? </i> Then what?	6224678	747	UK	2014
No, the woman I lived with.	- The one who gave me the book? <i> No, the woman I lived with. </i> The woman who attacked.	6224678	1040	UK	2014
The BMA have published my first paper,	Good. <i> The BMA have published my first paper, </i> And two research centers have approached me about consultancy work,	6224678	45	UK	2014
Maybe I should just get out of your way and leave you to get on.	Uh, listen. <i> Maybe I should just get out of your way and leave you to get on. </i> It is no trouble.	6224678	274	UK	2014
I can look up to the heavens and say.	It will do. <i> I can look up to the heavens and say. </i> We are equal now.	6224678	1255	UK	2014
You understand what it is that I am telling you, Mrs. Timpleman?	And I'm gonna have you look me straight in the eye on Monday morning and tell me whether or not she would want her man put away in a place like that. <i> You understand what it is that I am telling you, Mrs. Timpleman? </i> The power that I am putting in your hands.	3151540	2029	US	2007
Pete came to see me.	What, did somebody die or something? <i> Pete came to see me. </i> Did you hear that Jurrjens pitched a no-no?	4744540	425	US	2012
So I looked at the scenery	We smoked the last one an hour ago <i> So I looked at the scenery </i> She read her magazine	54446	164	US	2000
What's the matter, you never seen anybody trip before?	I got it. <i> What's the matter, you never seen anybody trip before? </i> Jesus Christ.	4744540	782	US	2012
Well, I don't have an addictive personality so just show me how to do it.	I could show you how to do it, give you some hints but I'll warn you, it's very addictive. <i> Well, I don't have an addictive personality so just show me how to do it. </i> Is something I said funny?	3151540	854	US	2007
A kiss and a sigh	Soul to soul <i> A kiss and a sigh </i> Sawed in half...	3967329	95	US	2010
I don't know what to say.	If you can stay, we can work out the details over the next few days. <i> I don't know what to say. </i> You could say no.	5905224	865	US	2012
It has to take place in the same wedding venue.	Such ceremony must consist of the guests attended the wedding in the first place. <i> It has to take place in the same wedding venue. </i> The couple will wear the same attire from their wedding day, and only then is legally bound to sign your divorce application.	5905224	1574	US	2012
You do understand that this will require a circumcision, yeah?	Okay, so, I want to go through an authentic conversion, one that follows the most ancient of rituals. <i> You do understand that this will require a circumcision, yeah? </i> Yes, I do.	5905224	401	US	2012
They told me they were going to give me more time.	Well, they lied to me. <i> They told me they were going to give me more time. </i> Well, they're not, okay?	3967329	1945	US	2010
I'm on my way to a business and golf trip.	They'd like to speak with you just briefly. <i> I'm on my way to a business and golf trip. </i> I don't have time for this.	5905224	698	US	2012
We gave the other to our daughter.	It was one of a set. <i> We gave the other to our daughter. </i> It was-	3151540	1930	US	2007
Grandmother's famous recipe for tongue on rye.	"- Okay. <i> Grandmother's famous recipe for tongue on rye. </i> - It sounded like you said"" tongue."""	5905224	712	US	2012
We'll do the meet-and-greet, you'll see what you think if you like her, we go from there.	Good point. <i> We'll do the meet-and-greet, you'll see what you think if you like her, we go from there. </i> - Am I wrong about her tits?	3151540	1518	US	2007
None of them use birth control, and they eat all the steak.	Can you believe these new girls? <i> None of them use birth control, and they eat all the steak. </i> I mean, they don't even know what it is to be a fan.	54446	1842	US	2000
Yesterday was her birthday, and I didn't even know.	You know what? <i> Yesterday was her birthday, and I didn't even know. </i> Yeah, they had a big beach party for her out at her house in Malibu.	5905224	1279	US	2012
I need to know how and why.	There's a reason this is happening. <i> I need to know how and why. </i> You know that dream you got about that little energy company in California?	3967329	427	US	2010
The harder it gets for me to walk out on them.	I'm past' em, as musicians, but... the more popular we get, the bigger their houses get... the more responsibilities, the pressure, you know-- <i> The harder it gets for me to walk out on them. </i> What am I doing?	54446	701	US	2000
I really love your band.	"Ed, Larry. <i> I really love your band. </i> I think the song"" Fever Dog"" is a big step forward for you."	54446	344	US	2000
Babaco needs this money to build these three fabrications...	We took another look and we just don't think United Fusion is ever gonna achieve what they claim. <i> Babaco needs this money to build these three fabrications... </i> You might as well just burn the money, Bretton.	3967329	1695	US	2010
- Nice to meet you, as well.	It's so nice to meet you. <i> - Nice to meet you, as well. </i> - Hey, Alex.	5905224	1127	US	2012
Let's go get something to eat.	Come on. <i> Let's go get something to eat. </i> You miss it?	3151540	1079	US	2007
""" till death do us part,"" but after time passes, the initial attraction often fades."	"On their wedding day, couples often still say, <i> "" till death do us part,"" but after time passes, the initial attraction often fades. </i> The perfect spouse all of a sudden is a normal person with human flaws."	5905224	106	US	2012
Well, after a little time away, I actually turned it into one of the largest private jet brokerages in the world and sold it.	Excuse me. <i> Well, after a little time away, I actually turned it into one of the largest private jet brokerages in the world and sold it. </i> Made millions.	3967329	1396	US	2010
I always tell the girls, never take it seriously.	Bye. <i> I always tell the girls, never take it seriously. </i> If you never take it seriously, you never get hurt.	54446	507	US	2000
You already signed us up?	You did? <i> You already signed us up? </i> Yeah, but this time for the advanced one.	3151540	97	US	2007
- May I speak with William?	- You're so rude. <i> - May I speak with William? </i> - He' s still in the bar with the band.	54446	655	US	2000
I'm sorry about not being around here lately.	Yeah. <i> I'm sorry about not being around here lately. </i> But I been working a lot and...	4744540	390	US	2012
Gentry's got potential, but using our number one pick?	Nobody saw this? <i> Gentry's got potential, but using our number one pick? </i> Jesus Christ.	4744540	1766	US	2012
Good to see you, Burrows.	- Good. <i> Good to see you, Burrows. </i> - It's Johnson.	3151540	224	US	2007
I got a question to ask you.	But there's gonna be some blood, there's gonna be a scalpel, there's gonna be an owie on your pee-pee, all right? <i> I got a question to ask you. </i> On a scale of 1 to 10, how much pain can you take it?	5905224	418	US	2012
We've spoken with the partnership committee.	Mickey, it's Daniel Rosenbloom. <i> We've spoken with the partnership committee. </i> You win the Landau case...	4744540	348	US	2012
Christmas, Christmas time is near	Okay, Alvin? <i> Christmas, Christmas time is near </i> Time for toys and time for cheer	54446	6	US	2000
- Get away from the door.	Cherie. <i> - Get away from the door. </i> - What are you doing?	3151540	601	US	2007
Well, then how the hell would you know if I'm lucky to be alive?	I'm 28. <i> Well, then how the hell would you know if I'm lucky to be alive? </i> I know, it'll get done.	4744540	880	US	2012
We're actually not open yet.	- Oh, I'm sorry. <i> We're actually not open yet. </i> -, I'm not a customer.	5905224	280	US	2012
Then we have nothing more to talk about.	I'll take my chances in bankruptcy court before I sell to that barracuda. <i> Then we have nothing more to talk about. </i> Six.	3967329	517	US	2010
You wouldn't happen to know what the state bird of New Jersey is, would you?	Just fine. <i> You wouldn't happen to know what the state bird of New Jersey is, would you? </i> That'd be a trick question.	4744540	1198	US	2012
To make sure everything goes okay.	Just for a couple of days. <i> To make sure everything goes okay. </i> It'd be nice for you two to spend some time together.	4744540	377	US	2012
You watched it two times in a row.	I know. <i> You watched it two times in a row. </i> At the drive-in.	5905224	1254	US	2012
I'm just thinking, a lot, too much.	Yeah. <i> I'm just thinking, a lot, too much. </i> - Too much thinking.	4744540	1401	US	2012
You don't want to hear this today.	Tell me. <i> You don't want to hear this today. </i> Robby.	3967329	366	US	2010
And I fell, right there on the sidewalk.	And in that moment, I lost my equilibrium. <i> And I fell, right there on the sidewalk. </i> And the thing is, Dr. Johnson, I haven't yet gotten up.	3151540	1218	US	2007
I was screaming for you, honking the horn.	I saw you coming out of a paint store a couple weeks ago and... <i> I was screaming for you, honking the horn. </i> I stopped the car, jumped out in traffic.	3151540	207	US	2007
To finally be in business with you and your firm.	Because, frankly, Julie, I couldn't be more excited about this. <i> To finally be in business with you and your firm. </i> And us with you, Gekko.	3967329	2189	US	2010
There was a time before we were born	Did I find you or you find me? <i> There was a time before we were born </i> If someone asks This is where I'll be	3967329	2324	US	2010
Just the two of you, get out.	Will you, please? <i> Just the two of you, get out. </i> - Okay.	4744540	1018	US	2012
Now, just go, all right?	You're not gonna get any. <i> Now, just go, all right? </i> Cola Cubes.	3179568	85	UK	2006
They've done nothing to you.	They've done... <i> They've done nothing to you. </i> You fuck...	3179568	2249	UK	2006
You might look about four, but you kiss like a forty-year-old.	We'll leave it today. <i> You might look about four, but you kiss like a forty-year-old. </i> You're dead sensitive.	3179568	943	UK	2006
- Do you want it, as well?	Fucking leave them alone! <i> - Do you want it, as well? </i> - You're fucking potty.	3179568	2231	UK	2006
A big party till late in the morning.	We all get together. <i> A big party till late in the morning. </i> Yeah, it's... it's nice.	3179568	2123	UK	2006
You said Douglas called you.	Preliminary postmortem revealed Karen Douglas died of a single stab wound to the heart. <i> You said Douglas called you. </i> He had information.	3472293	874	UK	2009
Telephone call for Mr Hunter.	Sorry to trouble you, sir. <i> Telephone call for Mr Hunter. </i> It's your wife, sir.	3472293	419	UK	2009
'You don't work here any more.	Be careful, mind. <i> 'You don't work here any more. </i> Remember?	3472293	1318	UK	2009
Still should have told me, John.	So what's the Ripper doing, claiming Clare as one of his, then? <i> Still should have told me, John. </i> Yeah, I know.	3472293	846	UK	2009
She was taken to some disused garages on Frenchwood Street, had sex and then was hit on the head with a blunt instrument.	The type of injuries didn't correspond. <i> She was taken to some disused garages on Frenchwood Street, had sex and then was hit on the head with a blunt instrument. </i> She was kicked in the face, head, breasts, legs and body.	3472293	574	UK	2009
We have received letters that we believe to be genuine and we are presently analysing a tape that we also believe comes from someone who we'd very much like to talk to in connection with this inquiry.	Over 3,000 statements have been taken, and 9,000 men have already been eliminated from our inquiry. <i> We have received letters that we believe to be genuine and we are presently analysing a tape that we also believe comes from someone who we'd very much like to talk to in connection with this inquiry. </i> I'm Jack.	3472293	23	UK	2009
She was making a lot of noise and there was a car there.	And I held her nose. <i> She was making a lot of noise and there was a car there. </i> It drove off while I was hiding her behind the sofa.	3472293	1229	UK	2009
Think we've left anybody out?	That's a lot of women, isn't it, Peter? <i> Think we've left anybody out? </i> Yeah, you have.	3472293	1208	UK	2009
I hope that wasn't a complete waste of your time.	Mr Hunter. <i> I hope that wasn't a complete waste of your time. </i> But BJ was very insistent.	3472293	547	UK	2009
I am very, very good with women.	For your protection, my dear. <i> I am very, very good with women. </i> I used to live with me mum and her two sisters.	3670999	188	UK	2010
# Hammersmith Palais, the Bolshoi Ballet	# Good Golly Miss Molly and boats <i> # Hammersmith Palais, the Bolshoi Ballet </i> # Jump back in the alley add nanny goats# 18-wheeler Scammells, Domineker camels	3670999	1749	UK	2010
Russ, why you got to say things like that?	We're going nowhere. <i> Russ, why you got to say things like that? </i> I quit.	3670999	228	UK	2010
So, never let the truth get in the way of a good story.	Stories are what we tell ourselves to make ourselves feel better about ourselves. <i> So, never let the truth get in the way of a good story. </i> Once upon a time, in a mystical land far, far away, well, Southend-on-Sea, a young prince holidayed.	3670999	86	UK	2010
And I bet she can make fucking sandwiches and all.	Yeah, see, she can drive. <i> And I bet she can make fucking sandwiches and all. </i> Russell, come on.	3670999	246	UK	2010
Well, that went well, then.	I look like a prick. <i> Well, that went well, then. </i> Come on.	3670999	770	UK	2010
# 100,000 thank-yous from 27 spastics	# I'm Spasticus, Spasticus Spasticus Autisticus# 54 appliances in leather and elastic <i> # 100,000 thank-yous from 27 spastics </i> # Spasticus Spasticus Autisticus	3670999	1706	UK	2010
Look, I'm on the verge of something, things are happening.	He needs you at the moment. <i> Look, I'm on the verge of something, things are happening. </i> I've been offered some work at the Academy.	3670999	349	UK	2010
He goes in the goal and goes like this...	- I got into the goal. <i> He goes in the goal and goes like this... </i> He's probably thinking, what am I doing?	5778643	812	UK	2013
Like our, I don't know, Uncle Gary, he is.	I thought he was the glue that held them lads together. <i> Like our, I don't know, Uncle Gary, he is. </i> He does everything for us.	5778643	172	UK	2013
So all my team talks were based on that.	It doesn't matter how good a player you are, if you're not prepared to work and have a desire to work, then it means nothing. <i> So all my team talks were based on that. </i> I would bring out stories, some imaginative stories, and some were actually true stories, but always working on the principal of work ethic.	5778643	1098	UK	2013
What I've always admired about David is his mental toughness is phenomenal.	I probably will miss it a little bit, but I'll be doing what I want to do, so... <i> What I've always admired about David is his mental toughness is phenomenal. </i> I mean, people can say whatever they want about him who don't know him, but mental toughness, he's as tough as anybody you'll ever, ever, ever meet.	5778643	1253	UK	2013
"And he said to me, he's gone,"" Do you want to end up like him?"""	""" You've had too many chances."" <i> And he said to me, he's gone,"" Do you want to end up like him?"" </i> From that day on, really, I was a little bit more focused, and obviously I'd seen the gaffer snap before, but not like that."	5778643	678	UK	2013
They played brilliant football, they played the right way, they had great players, they played a good system.	I just hated them because they were so good. <i> They played brilliant football, they played the right way, they had great players, they played a good system. </i> To watch that mob down the road, to just be head and shoulders above everybody else in the league, in Europe and...	5778643	388	UK	2013
One of the things that I remember is Butty's overhead kick, you know.	It's Giggs! <i> One of the things that I remember is Butty's overhead kick, you know. </i> Didn't go in, but he got so excited about it.	5778643	214	UK	2013
"You know, the manager told him,"" Forget the FA Cup final."	"You know, you go to war, you take Nicky Butt with you. <i> You know, the manager told him,"" Forget the FA Cup final. </i> Forget it."	5778643	1745	UK	2013
Patrick Vieira plays the ball square.	PHIL: <i> Patrick Vieira plays the ball square. </i> And I just remember Giggsy setting off.	5778643	751	UK	2013
We drove it up to the petrol station, by the wasteland,	Azza was the one who got the car started. <i> We drove it up to the petrol station, by the wasteland, </i> Where Stevie wanted to play dodgems.	6224678	1330	UK	2014
It is gone too far.	You should talk to the police as well. <i> It is gone too far. </i> Yeah.	6224678	767	UK	2014
I do not know, Tom.	Yes. <i> I do not know, Tom. </i> Sometimes I think I should...	6224678	50	UK	2014
If that Is what you want, I am there for you, Tom.	Ending it. <i> If that Is what you want, I am there for you, Tom. </i> Yeah, I know.	6224678	1067	UK	2014
Just a little bit more, Tom.	You know just... <i> Just a little bit more, Tom. </i> You know.	6224678	812	UK	2014
I have to go home.	- Nothing. <i> I have to go home. </i> Leave me alone, will you.	6224678	1026	UK	2014
Look, I am going to ask you a question.	- I do not know. <i> Look, I am going to ask you a question. </i> Okay.	6224678	1032	UK	2014
I did not think you liked his work.	Fuck you! <i> I did not think you liked his work. </i> I do not.	6224678	673	UK	2014
- Did anyone phone up, or...	- It is somewhat urgent. <i> - Did anyone phone up, or... </i> - Is everything okay?	6224678	1118	UK	2014
- I was his fucking father.	- What would you know? <i> - I was his fucking father. </i> - Exactly!	6224678	1353	UK	2014
How do you think you would feel.	A sister? <i> How do you think you would feel. </i> If your sister.	6224678	1150	UK	2014
I walked into a wall.	I. You know... <i> I walked into a wall. </i> Fell off a bus.	6224678	679	UK	2014
Actually, I remember him saying he had a daughter in college.	To be honest, when I got traded, I think it bothered him as much as it did me. <i> Actually, I remember him saying he had a daughter in college. </i> Yep.	4744540	1134	US	2012
Aren't you gonna see what he's got?	Where you going, Gus? <i> Aren't you gonna see what he's got? </i> I've seen all this guy's got.	4744540	28	US	2012
I just gotta wait it out.	Everybody reads the same news. <i> I just gotta wait it out. </i> It's like the two Florida properties five years ago.	3967329	907	US	2010
- I don't know why every time I'm here--	Guys, I have some good news. <i> - I don't know why every time I'm here-- </i> - Guys!	54446	1448	US	2000
I like trading with you, Jake.	It's got to look like an accident. <i> I like trading with you, Jake. </i> See you around campus.	3967329	1356	US	2010
I think we should work on those last words!	I'm on drugs. <i> I think we should work on those last words! </i> Okay.	54446	962	US	2000
