SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
He'll be all over the heat.	Bring the heat. <i> He'll be all over the heat. </i> Come with the off-speed stuff.	heat	1	4744540	828	US	2012			
I waited until you broke up with her, but me too.	- I did too. <i> I waited until you broke up with her, but me too. </i> I also slept with Leslie, when you were fighting.	broke up	2	54446	1649	US	2000	to end a romantic relationship or break off a dating relationship.	https://www.urbandictionary.com/define.php?term=broke-up	ended
Sixteen thousand times he did the kitchen.	- Oh, God, the kitchen. <i> Sixteen thousand times he did the kitchen. </i> It's beautiful.	sixteen thousand	1	3151540	2084	US	2007			
Looks like he has pretty quick hands.	He uses his hips and legs for power. <i> Looks like he has pretty quick hands. </i> You're on your own.	pretty quick	1	4744540	838	US	2012			
Sammy only had one eye, but he cut quite a figure.	No, they're right. <i> Sammy only had one eye, but he cut quite a figure. </i> I know what you're doing.	cut	2	4744540	21	US	2012	to present oneself or dress stylishly and attractively.		dress
- You know how I know this is good stuff?	- joint? <i> - You know how I know this is good stuff? </i> - How's that?	good stuff	1	54446	1323	US	2000			
You're gonna back me up.	If I ever happen to get into a situation with a patient again I don't care what it does to our liability you know what you're gonna do? <i> You're gonna back me up. </i> I put this practise together and I made you all filthy stinking rich.	back me up	1	3151540	1860	US	2007			
When'd you get into him?	Smokin' O.P.' s, Mongrel. <i> When'd you get into him? </i> Probably later.	into	1	3151540	1361	US	2007			
I smell a Fineman jam session coming on.	Psychedelic time. <i> I smell a Fineman jam session coming on. </i> Yeah, Burrows Hall-style.	fineman jam	1	3151540	781	US	2007			
- I ran into Charlie Fineman today.	-... if Mommy or Daddy's late- <i> - I ran into Charlie Fineman today. </i> Really?	ran	1	3151540	79	US	2007			
- Who the fuck is this, Brad?	Some college roommate? <i> - Who the fuck is this, Brad? </i> - Honey, I have no idea.	fuck	1	5905224	1672	US	2012			
I haven't seen you in years.	Bud Fox, huh? <i> I haven't seen you in years. </i> This is Erin and Christina.	huh	1	3967329	1387	US	2010			
Hey, that is quality television.	- Who are you, Dr. Phil? <i> Hey, that is quality television. </i> Yeah.	quality	1	4744540	1007	US	2012			
He looks pretty good on paper.	I don't know. <i> He looks pretty good on paper. </i> I'll take a look at him, see if he can play.	on paper	2	4744540	196	US	2012	based on a written description of someone's qualifications or skills, they appear to be suitable for a particular job or task.		qualifications
Cuellar and Dobson, they lose to the Pirates in the series.	Palmer, McNally... <i> Cuellar and Dobson, they lose to the Pirates in the series. </i> Go figure.	go figure	2	4744540	1025	US	2012	an expression used to indicate that something is surprising or ironic, often with a sense of resignation or acceptance.	https://www.urbandictionary.com/define.php?term=go%20figure	surprising
Congratulations, it's gonna be a cover.	This is Jan Winner, publisher of Rolling Stone. <i> Congratulations, it's gonna be a cover. </i> Annie Liebowitz'll shoot' em next week in LA... but we are gonna need you back in San Francisco tomorrow.	cover	1	54446	1435	US	2000			
It was no fun having doors slammed in my face, getting the evil eye on the street, being spat upon, punched in the face, and told I am a horrible person for deserting my pregnant wife.	Getting all you here was no easy task, I can assure you that. <i> It was no fun having doors slammed in my face, getting the evil eye on the street, being spat upon, punched in the face, and told I am a horrible person for deserting my pregnant wife. </i> This little... event was not my idea.	evil eye	2	5905224	1745	US	2012	to give someone a malevolent stare, usually indicating a curse or bad luck.	https://www.urbandictionary.com/define.php?term=Evil%20Eye	malocchio
You know, the money's good.	I hate what I do. <i> You know, the money's good. </i> But I swear to God, I hate putting phoney teeth on phoney people.	good	1	3151540	1822	US	2007			
Well, what would you do if you were me?	"Or do I close the deal, then dump her?"" <i> Well, what would you do if you were me? </i> Me?"	dump	1	5905224	1345	US	2012			
Two months we negotiated with these pikers.	I know what I said, Bill. <i> Two months we negotiated with these pikers. </i> They pulled out at 7: 00 p.m.	pikers	3	3967329	444	US	2010	a small-time player, a petty crook, a worthless person or something of little worth.		scrubs
If I am wrong, if I'm wrong, you fire me.	Our pick's up in two minutes. <i> If I am wrong, if I'm wrong, you fire me. </i> But I am telling you right now:	fire	1	4744540	1523	US	2012			
And I mean that from the bottom of my heart.	Fella, man, you are more than welcome. <i> And I mean that from the bottom of my heart. </i> Any time.	bottom of my heart	1	3179568	704	UK	2006			
Excuse me, mate, is there a toilet here?	Just get on with it. <i> Excuse me, mate, is there a toilet here? </i> Ah, my arse is killing.	mate	2	3179568	1367	UK	2006	friend		friend
Cos see that man, there, Milky?	Yeah? <i> Cos see that man, there, Milky? </i> That man there took abuse off me.	milky	2	3179568	1114	UK	2006			
- Fuck off calling me Tubs!	- Gadge, come on, Tubs, man. <i> - Fuck off calling me Tubs! </i> I'm sick of you, Woody.	tubs	1	3179568	1268	UK	2006			
You fucking horrible fucking cunt!	You knobhead! <i> You fucking horrible fucking cunt! </i> You're fucking mad as a March hare.	cunt	2	3179568	2227	UK	2006	crude term for female genitalia, also used as an insult		horrible person
Honest, lad, I know how you feel.	To have people just fucking leave you. <i> Honest, lad, I know how you feel. </i> If you ever want anyone to talk to someone to cry with or just to fucking have a hug or punch the fuck out of' em,	lad	2	3179568	1337	UK	2006	boy, young male		boy
Now run home, cos Mummy's cooking curry.	- Yeah. <i> Now run home, cos Mummy's cooking curry. </i> Go on.	cos	2	3179568	1582	UK	2006	because		because
Sergeant Craven and PC Douglas are on the mend, but they're not up to questioning just yet.	It's like the papers say. <i> Sergeant Craven and PC Douglas are on the mend, but they're not up to questioning just yet. </i> 'Our thoughts go out to the families of PC Tommy Douglas and Sergeant Bob Craven.	on the mend	1	3472293	230	UK	2009			
Don't want to go washing our dirty linen in public, do we?	Why covert? <i> Don't want to go washing our dirty linen in public, do we? </i> As far as West Yorkshire is concerned, your squad will be there in an advisory capacity.	dirty linen	1	3472293	77	UK	2009			
He's an unsettled lad, but he's desperate to speak to you.	I've a young man outside. <i> He's an unsettled lad, but he's desperate to speak to you. </i> About what?	lad	3	3472293	514	UK	2009	young boy, young male		boy
- None taken, you fat-ankled fucker.	- No offence. <i> - None taken, you fat-ankled fucker. </i> Fat ankles?	fucker	2	3670999	215	UK	2010	literally someone who fucks ie has sex, in this context just a generic insult		person
Hey, what do you call a man with paper trousers?	Is Dad coming? <i> Hey, what do you call a man with paper trousers? </i> Russell.	hey	2	3670999	125	UK	2010	general greeting, hailing someone		hello
Him and Eddie Cochran were the brightest stars in the firmament when they climbed into a cab outside the Savoy, April 16th, 1960.	Scramble-egged his leg in a bike accident. <i> Him and Eddie Cochran were the brightest stars in the firmament when they climbed into a cab outside the Savoy, April 16th, 1960. </i> Two hours later, they hit a hairpin bend.	cab	1	3670999	444	UK	2010			
# But the bravest by far in the ranks of the Shah	# And quite unaccustomed to fear <i> # But the bravest by far in the ranks of the Shah </i> # Was Abdulla Bulbul Ameer	shah	1	3670999	750	UK	2010			
# Grey is such a pity	That's it. <i> # Grey is such a pity </i> Yeah!	pity	1	3670999	678	UK	2010			
Boot polish, as well, on the...	Yeah, that was my worst one. <i> Boot polish, as well, on the... </i> I had a boot-polish number put on the back of my...	boot	1	5778643	282	UK	2013			
Scottish Devolution, giving Scotland its first parliament, and then peace in Northern Ireland, sometimes I think what was great about the spirit of that time was that	I mean, when I look back now and think of the changes we made to the House of Lords, getting rid of the Hereditary Peers, <i> Scottish Devolution, giving Scotland its first parliament, and then peace in Northern Ireland, sometimes I think what was great about the spirit of that time was that </i> what, on rational analysis was impossible, became imbued by a spirit of possibility and was actually done.	spirit	1	5778643	1189	UK	2013			
Ben got a cross in and the lad just went like that with his boot, with his studs and all that business, and he's straight down.	"And I can still see it now, and it sickens me now. <i> Ben got a cross in and the lad just went like that with his boot, with his studs and all that business, and he's straight down. </i> Robbo, who was playing in that game, went up to the guy who did it, just put his finger up like that, I remember him waving his finger like that, and the lad told him two words, and the last one was"" off""."	lad	3	5778643	323	UK	2013	young boy, young male		boy
You've got a kid who's smaller than most.	GARY: <i> You've got a kid who's smaller than most. </i> He's got asthma.	kid	2	5778643	69	UK	2013	child, young person		child
Because Bayern Munich were still getting chances.	The only doubts that I ever had were probably in the last half an hour of the Champions League final. <i> Because Bayern Munich were still getting chances. </i> They were hitting the bar, they were hitting the post.	getting chances	1	5778643	1802	UK	2013			
That was the beauty of The Cliff, wasn't it?	I think we all looked around at each other and we all smiled, because, you know, being looked after by someone like Bryan Robson... it doesn't get much better than that. <i> That was the beauty of The Cliff, wasn't it? </i> We were all, what...	beauty	1	5778643	336	UK	2013			
Did you ever read about the evils of drink?	- No. <i> Did you ever read about the evils of drink? </i> - Yeah.	evils of drink	1	6224678	562	UK	2014			
His mum wants me to find whomever's responsible for her son's death.	I needed a picture of him for the first print. <i> His mum wants me to find whomever's responsible for her son's death. </i> Well, she would.	mum	1	6224678	341	UK	2014			
- Listen, you best fucking stay away from here.	- What? <i> - Listen, you best fucking stay away from here. </i> - Let me go!	fucking	1	6224678	1017	UK	2014			
He was a teenage kid.	He... he'd been spending a lot more time out at night when I was away. <i> He was a teenage kid. </i> What did you expect?	kid	2	6224678	642	UK	2014	child, young person		child
- I am sorry to bother you, Miss Mallon.	Yes. <i> - I am sorry to bother you, Miss Mallon. </i> - Mr. Carver.	bother	1	6224678	1112	UK	2014			
My head is a bit foggy, and I am not sleeping a lot.	My... <i> My head is a bit foggy, and I am not sleeping a lot. </i> Yes, of course.	foggy	1	6224678	248	UK	2014			
You really want to get this site on the map?	You're a sad man, Gordon. <i> You really want to get this site on the map? </i> You break this story.	on the map	1	3967329	2132	US	2010			
It's none of your business what I do.	How do you guard the house and drive at the same... <i> It's none of your business what I do. </i> Now you need to leave.	business	1	5905224	1049	US	2012			
Please go the fuck away!	Good morning. <i> Please go the fuck away! </i> Hey, how you doing?	fuck	3	54446	1160	US	2000	an intensifier or exclamation to express strong emotions such as anger, frustration, surprise, or excitement.	https://greensdictofslang.com/entry/tc32pca	exclamation
Muriel knows how to walk this thing.	There's no limits anymore. <i> Muriel knows how to walk this thing. </i> It's her damn dog.	this thing	1	3967329	399	US	2010			
You don't know who you're dealing with here!	Amateurs! <i> You don't know who you're dealing with here! </i> Lock the gates!	dealing	1	54446	746	US	2000			
It's funny how we ended up being neighbors again.	getting you back on your feet. <i> It's funny how we ended up being neighbors again. </i> Well, I live in the Fairfax district.	feet	1	5905224	825	US	2012			
None of us love you.	I never did. <i> None of us love you. </i> You act above us.	above	1	54446	1657	US	2000			
Just a sea of sadness.	It's just- <i> Just a sea of sadness. </i> - Yeah.	sea	1	3151540	818	US	2007			
Welcome, welcome, my dear friends.	You look Jewish a little bit. <i> Welcome, welcome, my dear friends. </i> Good afternoon.	welcome	1	5905224	452	US	2012			
just make us look cool.	I trust you, so I'm just gonna lay this right on ya. <i> just make us look cool. </i> I will quote you warmly and accurately.	cool	2	54446	689	US	2000	fashionable, impressive, or socially desirable. it can also refer to a sense of composure or relaxedness.	https://greensdictofslang.com/entry/nfuz7hi	stylish
I don't know how I got to the place where I'm not letting you in but you're right, I'm not.	Janeane, I gotta tell you something, babe. <i> I don't know how I got to the place where I'm not letting you in but you're right, I'm not. </i> And that's wrong.	letting you in	1	3151540	2140	US	2007			
Don't go back in there, Jake.	Close to$ 100 million by now. <i> Don't go back in there, Jake. </i> This is who he is.	go back	1	3967329	2011	US	2010			
Let me try and get you a thousand more words.	I like what we're saying. <i> Let me try and get you a thousand more words. </i> Now, it's in consideration for the cover... but don't tell the band.	words	1	54446	1135	US	2000			
- She says I can stay in your room.	Estrella says hi. <i> - She says I can stay in your room. </i> - Sure.	stay	1	54446	805	US	2000			
I'll do my best, Bo.	Do not mess this up. <i> I'll do my best, Bo. </i> Oh, dear God, let me get a hit.	bo	1	4744540	1303	US	2012			
Didn't you get anything on tape with Russell Hammond?	I mean, after$ 600 in room-service bills? <i> Didn't you get anything on tape with Russell Hammond? </i> And where were you in this piece?	on tape	1	54446	1713	US	2000			
The shares of the major financial stocks plummeting.	There is carnage on Wall Street. <i> The shares of the major financial stocks plummeting. </i> It's triggering a major sell-off in the markets.	plummeting	2	3967329	1567	US	2010	fall or drop suddenly and steeply, often with great speed.		falling
I mean, that was just perfection.	Did you see that girl? <i> I mean, that was just perfection. </i> You okay?	perfection	1	3151540	1193	US	2007			
Yeah, well, they can certainly phase me out.	- They can't fire you over an illness. <i> Yeah, well, they can certainly phase me out. </i> I've only got three months left on my contract.	phase me out	2	4744540	446	US	2012	gradually reduce or eliminate someone's role or position, often with the intention of eventually getting rid of them altogether.	https://greensdictofslang.com/entry/qrzr2wa	eliminate
To be honest, when I got traded, I think it bothered him as much as it did me.	When Gus scouted me, we spent a lot of time together. <i> To be honest, when I got traded, I think it bothered him as much as it did me. </i> Actually, I remember him saying he had a daughter in college.	scouted traded	1	4744540	1133	US	2012			
I don't wanna tell it.	I'd like to hear it. <i> I don't wanna tell it. </i> Go, Bo!	wanna	1	4744540	843	US	2012			
I make more in a month now than I did in my best year as a nurse.	Yeah, but you did something, and that's the point, Mom. <i> I make more in a month now than I did in my best year as a nurse. </i> You made a difference.	nurse	1	3967329	945	US	2010			
Hi, this is Craig, your pilot.	Pretty, pretty, pretty, pretty Peggy Sue <i> Hi, this is Craig, your pilot. </i> It appears we've caught the edge of that electrical storm...	electrical storm	1	54446	1608	US	2000			
What, are you her personal secretary, too?	I thought you were the assistant manager. <i> What, are you her personal secretary, too? </i> - No, I'm her boyfriend.	personal secretary	1	5905224	325	US	2012			
- Did you see a hitch in his swing?	How can you tell? <i> - Did you see a hitch in his swing? </i> - No.	hitch	2	4744540	1291	US	2012	a minor or temporary issue or problem, often related to a physical movement or action. in the context of sports or physical activities, it can refer to a momentary interruption or alteration in technique or form.		glitch
All you can do is be yourself... and leave a pint of blood on that stage.	You should be nervous. <i> All you can do is be yourself... and leave a pint of blood on that stage. </i> We showed you America.	pint of blood	1	54446	1402	US	2000			
I'm visualizing mega endorsement deals.	I got a chance to win this game in front of all these scouts. <i> I'm visualizing mega endorsement deals. </i> Do not mess this up.	visualizing	1	4744540	1301	US	2012			
- I'd like to know how you did that.	I made it go away. <i> - I'd like to know how you did that. </i> I invited the woman in, I shut the door I hopped on the desk and I just let her do it.	women	1	3151540	1436	US	2007			
Charlie, if we're gonna be friends, you have to be able to trust me.	- Better not be. <i> Charlie, if we're gonna be friends, you have to be able to trust me. </i> - Thought we were friends.	gonna	1	3151540	1102	US	2007			
This is not going well for you, you hear me?	I want you to shut up, Mr. Fallon. <i> This is not going well for you, you hear me? </i> Shut up.	well	1	3151540	2010	US	2007			
Yeah, except I owe six to the bank.	Besides, four-and-a-half is great in this market. <i> Yeah, except I owe six to the bank. </i> When do I have to be out of here?	four and a half	1	3967329	1926	US	2010			
Because, in spite of you, I feel this dysfunctional sense of responsibility... to make sure that you're okay.	I don't know why you don't go home. <i> Because, in spite of you, I feel this dysfunctional sense of responsibility... to make sure that you're okay. </i> I know I'm as blind as a slab of concrete, but I'm not helpless.	blind as a slab of concrete	1	4744540	739	US	2012			
"He looks harmless, but he does represent the magazine that trashed"" Layla""... broke up Cream, ripped every album Led Zeppelin ever made."	"But it's Rolling Stone. <i> He looks harmless, but he does represent the magazine that trashed"" Layla""... broke up Cream, ripped every album Led Zeppelin ever made. </i> Don't forget the rules, man."	trashed	1	54446	632	US	2000			
Well, thank you for seeing me.	No, I wouldn't use that word. <i> Well, thank you for seeing me. </i> Did I have a choice, Miss Remar?	seeing	1	3151540	1197	US	2007			
You can't escape that easily.	Wait, wait, wait! <i> You can't escape that easily. </i> Come on over here.	escape	1	5905224	1396	US	2012			
I can't tell one from another	Guess that this must be the place <i> I can't tell one from another </i> Did I find you or you find me?	you find me	1	3967329	2322	US	2010			
She cried in her room for days, maybe weeks.	- I lied. <i> She cried in her room for days, maybe weeks. </i> Baby girl was in some major pain.	baby girl	1	5905224	1197	US	2012			
And clean the place up.	Any fucking time. <i> And clean the place up. </i> It fucking stinks of curry.	place	1	3179568	1659	UK	2006			
This is why I'm staying, because you're always taking the piss, making me feel that fucking big.	I'm sick of you, Woody. <i> This is why I'm staying, because you're always taking the piss, making me feel that fucking big. </i> He's put things into perspective.	taking the piss	1	3179568	1270	UK	2006			
Picking on a fucking kid, was you?	Fucking hell. <i> Picking on a fucking kid, was you? </i> - Eh?	kid	1	3179568	1639	UK	2006			
# Huh, huh, huh, huh# 54-46 was my number	# Give it to me four time <i> # Huh, huh, huh, huh# 54-46 was my number </i> # Oh, yeah	huh	2	3179568	39	UK	2006			
Come here and give me a big hug.	I were fucking lying! <i> Come here and give me a big hug. </i> Come here, fella.	hug	1	3179568	630	UK	2006			
Fucking leave them two alone.	They haven't done nothing to you. <i> Fucking leave them two alone. </i> Leave them alone.	fucking	1	3179568	2246	UK	2006			
Any chance you can get me any weed?	Look, man, erm... <i> Any chance you can get me any weed? </i> I just want a smoke.	weed	2	3179568	1972	UK	2006	cannabis or marijuana		cannabis
I tell you... you know, any, any time you wanna come round for something to eat, you have to come to my grandma's to get something to eat.	Lucky you, aren't you? <i> I tell you... you know, any, any time you wanna come round for something to eat, you have to come to my grandma's to get something to eat. </i> - Yeah?	wanna	3	3179568	2142	UK	2006	want to		intend
- It's my other half, like.	That's my other half, that. <i> - It's my other half, like. </i> - Nice one, mate.	other half	2	3179568	919	UK	2006	partner, wife or husband		spouse
Oh, and you're a mong.	Oh, and you're banned. <i> Oh, and you're a mong. </i> Hey, see you, Janice!	mong	3	3179568	103	UK	2006			
I've got to tape summat on aardvarks.	Past my bedtime and there's a... <i> I've got to tape summat on aardvarks. </i> - You're not going, are you?	summat	2	3179568	1718	UK	2006			
I'll sort it, I promise you.	I'll have a word with Woody. <i> I'll sort it, I promise you. </i> I just feel really bad.	sort	2	3179568	1315	UK	2006	fix, mend		fix
That's favouritism from the boss, I reckon.	'76 was a very quiet one. <i> That's favouritism from the boss, I reckon. </i> What do you reckon?	boss	1	3472293	291	UK	2009			
I know a bit, yeah.	You know what happened to her? <i> I know a bit, yeah. </i> The things they did to her.	yeah	1	3472293	626	UK	2009			
Yeah, well, Eric, bent as a twobob note.	I'll have a bitter, please, mate. <i> Yeah, well, Eric, bent as a twobob note. </i> Gets involved with this gang knocking off post offices.	twobob	2	3472293	717	UK	2009			
She's a lovely looking kid.	Take care, Pete, eh? <i> She's a lovely looking kid. </i> You're a lovely looking man.	kid	3	3472293	739	UK	2009	child, young person		child
You've had a few, haven't you, Mr Hunter?	You know that, son. <i> You've had a few, haven't you, Mr Hunter? </i> So who's it going to be, then?	few	1	3472293	1035	UK	2009			
I was steaming with anger.	'I pulled all her clothes off and stabbed her...'.. <i> I was steaming with anger. </i> 'Her eyes were open.	steaming with anger	1	3472293	1235	UK	2009			
You think you're up for all this, Pete?	It's a Home Office Review. <i> You think you're up for all this, Pete? </i> How do you mean?	up for	2	3472293	852	UK	2009	inclined towards		prepared
Tommy Douglas... was my best mate.	Who's going to take the fall for Dougie? <i> Tommy Douglas... was my best mate. </i> Yeah, a mate with a grudge and a big mouth.	mate	3	3472293	1038	UK	2009	friend, comrade		friend
Scramble-egged his leg in a bike accident.	That's Gene Vincent. <i> Scramble-egged his leg in a bike accident. </i> Him and Eddie Cochran were the brightest stars in the firmament when they climbed into a cab outside the Savoy, April 16th, 1960.	scramble	1	3670999	443	UK	2010			
Go on then, off you pop.	Nice. <i> Go on then, off you pop. </i> Thanks so much for this.	off you pop	2	3670999	419	UK	2010	go away, leave now		depart
# If I ever shaped up tricky	# Oh, you ask Joyce and Vicky <i> # If I ever shaped up tricky </i> Tell him to shut that racket up!	shaped up	1	3670999	36	UK	2010			
Ooh, speak of the devil, and he will appear.	I've got a little surprise for you. <i> Ooh, speak of the devil, and he will appear. </i> Can you feel him slouching ever nearer?	speak of the devil	1	3670999	743	UK	2010			
We got some great tunes.	Who's there? <i> We got some great tunes. </i> Now all we need is a band with a drummer I can't sack.	tunes	1	3670999	986	UK	2010			
I'm gonna be keeping my eyes on you.	- Oh, whinge, whinge, whinge. <i> I'm gonna be keeping my eyes on you. </i> Come out of my face with that thing, man.	gonna	2	3670999	1259	UK	2010	going to, intend to		going to
Clive and I want to be together.	Ow. <i> Clive and I want to be together. </i> We don't wanna rush into that.	ow	1	3670999	1638	UK	2010			
Touch me again and I'll kick your fucking teeth so far down your Gregory Peck, you'll be able to eat out of your Khyber Pass!	Kick your head in! <i> Touch me again and I'll kick your fucking teeth so far down your Gregory Peck, you'll be able to eat out of your Khyber Pass! </i> - Fuck me, look who it is.	fucking	1	3670999	928	UK	2010			
I had that many chances and, you know, blew it.	Up to half time I could have scored three, four, five goals, <i> I had that many chances and, you know, blew it. </i> GIGGS:	blew it	2	5778643	1463	UK	2013	made a mess of it, did it wrong		messed
And massively about my dad taking me to United as a kid.	All I remember about being a kid is playing football, playing cricket at the cricket club. <i> And massively about my dad taking me to United as a kid. </i> I always remember the first time I went and I was absolutely mesmerised.	dad	1	5778643	112	UK	2013			
He's the, you know, the only real proper centre midfielder in the team.	GIGGS: <i> He's the, you know, the only real proper centre midfielder in the team. </i> So there was a big of pressure on him as well, and it was against a very good team.	real proper	1	5778643	1756	UK	2013			
They've hid in the wardrobe, they've hid under the bed, one of them jumped out the window.	At this time, the apprentices can hear his voice, because there was a few of the apprentices out. <i> They've hid in the wardrobe, they've hid under the bed, one of them jumped out the window. </i> And he didn't know about them.	jumped out the window	1	5778643	667	UK	2013			
I think, again, like Scholesy, it sort of goes under the radar, that goal.	GIGGS: <i> I think, again, like Scholesy, it sort of goes under the radar, that goal. </i> PHIL:	under the radar	1	5778643	1666	UK	2013			
It was just a hoof down the channel, and Coley just dinked it over.	"It was a wonderful pass. it was Platini. <i> It was just a hoof down the channel, and Coley just dinked it over. </i> And then it's 2-1, and you're thinking,"" Right, we're at it."""	hoof	2	5778643	1517	UK	2013	walk, short trip		trip
And he would go mad.	Every day we would use Becks','cause he had these leather seats. <i> And he would go mad. </i> Because we'd got our football boots on, so we're dirtying his car.	'cause	1	5778643	1288	UK	2013			
But if it goes back to fundamentally what it was about, it was about us keeping driving forward, keep attacking.	You know what I mean? <i> But if it goes back to fundamentally what it was about, it was about us keeping driving forward, keep attacking. </i> We got corner after corner after corner and...	driving forward	1	5778643	1831	UK	2013			
Kids nowadays, they've just become so much more advanced.	"You call that"" pranks"". <i> Kids nowadays, they've just become so much more advanced. </i> Have not you heard?"	kids	2	6224678	758	UK	2014	children, young people		children
